z,a,V
14.8636,0.6382,442.9275
17.6676,0.5178,507.7655
19.8223,0.6316,779.7038
10.5198,0.4989,173.4694
13.8659,0.6567,396.6605
15.3730,0.4992,370.6216
17.6086,0.6678,650.4891
20.6735,0.5096,684.1721
10.2530,0.6260,206.7548
14.1143,0.5012,313.6904
15.7432,0.6254,486.9922
17.7191,0.5117,504.7398
19.4588,0.6316,751.2706
10.5136,0.5036,174.8544
14.1481,0.6334,398.2876
15.4373,0.5162,386.4290
17.9838,0.6452,655.5750
20.6344,0.4996,668.2669
10.6234,0.6178,219.0428
14.0110,0.4950,305.2886
14.9781,0.6240,439.7909
18.2690,0.5005,524.7717
20.1535,0.6209,792.3331
9.8166,0.5008,151.6222
14.3094,0.6376,410.1455
15.6159,0.5148,394.4132
17.5924,0.6356,617.9593
20.7412,0.5148,695.7708
10.2793,0.6253,207.5919
14.6914,0.5013,339.9373
15.2438,0.6308,460.5067
17.7708,0.4991,495.1791
20.3485,0.6311,820.8761
11.0023,0.5063,192.5181
13.7877,0.6225,371.7720
15.1515,0.5281,380.9078
17.9030,0.6497,654.2040
20.5086,0.5231,691.1223
9.7447,0.6449,192.3988
13.7691,0.4991,297.2858
14.6268,0.6395,429.8112
17.4806,0.5093,488.9289
20.2618,0.6405,826.0568
9.9450,0.5257,163.3495
13.1359,0.6285,340.7224
15.1492,0.5198,374.7773
17.3340,0.6412,605.2826
19.9307,0.5136,640.9328
10.1692,0.6333,205.7769
13.8846,0.4936,298.9543
15.2009,0.6303,457.5530
17.8395,0.4981,498.0092
20.3857,0.6310,823.8742
9.9392,0.5276,163.7391
14.3823,0.6178,401.4928
15.9999,0.5002,402.2950
17.2874,0.6454,605.9881
19.8554,0.4944,612.2791
10.0895,0.6480,207.2497
13.1502,0.5155,280.0423
15.0236,0.6465,458.4499
16.9155,0.5261,472.8969
19.9652,0.6449,807.6208
9.6613,0.4875,142.9307
14.0711,0.6359,395.5081
15.0945,0.5173,370.3034
17.9110,0.6031,607.8132
20.6228,0.5002,668.3871
10.5141,0.6335,220.0186
13.5214,0.5074,291.4309
15.6866,0.6488,501.5921
17.6909,0.5031,494.6270
20.8141,0.6300,857.4911
10.5724,0.5037,176.8861
13.7981,0.6319,377.9589
15.9360,0.4871,388.6288
18.2179,0.6439,671.3374
20.4297,0.5082,666.3128
9.9980,0.6379,200.3197
14.0916,0.5077,316.7351
15.8641,0.6279,496.4519
17.4801,0.5093,488.8889
19.9685,0.6565,822.3589
10.2926,0.5128,170.6697
14.1379,0.6348,398.6375
15.5418,0.5242,397.7872
17.9956,0.6435,654.6747
19.9324,0.5055,630.8949
10.9820,0.6291,238.3686
14.2507,0.5008,319.4947
15.3916,0.6289,468.0146
17.9781,0.4886,496.1682
20.5328,0.6304,834.8706
10.4880,0.4977,171.9847
14.1975,0.6773,428.9311
15.0678,0.4911,350.2814
17.4719,0.6326,606.6681
19.7494,0.5003,613.0089
9.7842,0.6333,190.4775
13.6986,0.5112,301.3539
15.8406,0.6490,511.6260
18.1417,0.5241,541.8465
20.5751,0.6268,833.5604
10.6764,0.5095,182.4298
14.3024,0.6289,404.1611
15.0857,0.4990,356.7931
17.3494,0.6491,613.7689
20.5595,0.5231,694.6886
10.7687,0.6333,230.7036
13.3349,0.5081,283.8501
14.8520,0.6270,434.4804
17.1250,0.5134,472.9981
19.9982,0.6240,784.0088
9.7413,0.4892,145.8684
14.6046,0.6470,433.5559
14.9702,0.5127,361.0001
17.4111,0.6356,605.3032
20.5819,0.5179,689.2250
10.5945,0.6336,223.3848
13.4907,0.4962,283.7314
14.9619,0.6491,456.4552
17.5305,0.4838,467.1234
20.1668,0.6364,813.1064
10.1170,0.5330,171.3981
13.8939,0.6198,375.8943
15.2071,0.5081,369.1138
17.8585,0.6281,629.3404
20.3472,0.5264,684.6890
10.1649,0.6344,205.9307
14.2650,0.5131,328.0288
15.0324,0.6308,447.8371
17.8588,0.5056,506.6099
20.3501,0.6575,855.3310
9.4516,0.5175,145.2412
14.0847,0.6541,407.6303
14.9986,0.5075,358.6415
17.8407,0.6361,636.0479
20.1235,0.5180,659.0367
10.5621,0.6406,224.5372
13.6176,0.5000,291.3153
14.8553,0.6252,433.4039
17.5504,0.5071,490.6920
20.1553,0.6391,815.6436
10.3673,0.5113,172.6388
13.8685,0.6388,385.9586
14.5159,0.5280,349.5072
18.2306,0.6531,681.9190
20.1856,0.5218,667.9980
10.1639,0.6341,205.8093
13.7780,0.5172,308.4799
15.3888,0.6146,457.2535
17.6752,0.5135,504.0157
20.0391,0.6236,786.6896
9.9562,0.4939,153.8155
14.8855,0.6288,437.6799
15.2020,0.5278,383.2195
17.6153,0.6524,635.9507
20.0804,0.5127,649.5004
10.3229,0.6570,219.9393
13.8440,0.5153,310.2430
15.4716,0.6279,472.1677
17.8936,0.5087,511.7034
20.2550,0.6342,817.4477
9.8107,0.5068,153.2558
14.2977,0.6496,417.1732
15.5202,0.5101,385.9813
17.6679,0.6164,604.4593
19.8836,0.5290,657.0050
10.8165,0.6413,235.7127
14.4709,0.5249,345.3076
15.6480,0.6395,491.9752
17.7366,0.5106,504.6479
20.8282,0.6542,891.5470
10.6177,0.4903,173.6679
14.0670,0.6270,389.7627
15.2498,0.5133,375.0400
17.5763,0.6172,599.0200
20.1302,0.5121,651.9032
9.6539,0.6413,187.7658
14.6343,0.5057,340.2718
15.5356,0.6314,478.7367
17.9010,0.4968,500.1339
19.6688,0.6292,764.7065
10.6319,0.5141,182.5534
13.9133,0.6392,388.7248
15.3694,0.4963,368.3301
18.2006,0.6395,665.5630
20.6056,0.5030,670.9982
10.7292,0.6210,224.5904
13.3845,0.4936,277.8170
14.3132,0.6240,401.6240
17.4900,0.5136,493.5598
20.4168,0.6185,810.0130
9.7569,0.4968,148.5857
13.8077,0.6334,379.3701
15.1310,0.4826,347.0974
18.0492,0.6273,641.9512
20.1294,0.5302,674.8771
10.0571,0.6371,202.4045
14.0290,0.5138,317.6797
15.4096,0.6506,485.3065
17.4498,0.4755,454.8919
20.1039,0.6224,790.3420
9.7907,0.4855,146.1945
13.4146,0.6533,369.3214
15.4283,0.4994,373.4518
17.7476,0.6344,627.7470
20.5319,0.5053,669.1687
10.2320,0.6285,206.7038
14.6367,0.5072,341.3327
15.0002,0.6450,455.9492
17.6897,0.5057,497.1659
20.8780,0.6329,866.7506
10.5623,0.4929,172.7397
13.0706,0.6451,346.2362
15.5926,0.5373,410.4088
18.3806,0.6273,665.8090
20.3850,0.5147,671.9301
10.0594,0.6591,209.5251
14.0965,0.5238,326.9496
14.8077,0.6404,441.1387
17.9742,0.5249,532.7911
19.8178,0.6143,757.8806
10.0843,0.5089,162.6090
14.2463,0.6540,416.9910
15.4173,0.4981,371.9315
16.8889,0.6219,557.2563
20.2639,0.4983,642.8306
9.9249,0.6252,193.4598
13.8057,0.5108,305.8591
15.1627,0.6299,454.9655
17.5116,0.5115,492.8373
20.1870,0.6298,806.3540
9.9372,0.5148,159.7117
13.8101,0.6294,377.0944
15.5432,0.5119,388.4996
17.7642,0.6403,634.7754
20.0863,0.4933,625.2227
10.0427,0.6434,203.8481
14.2129,0.5112,324.4109
15.4934,0.6480,488.7167
18.0366,0.5196,531.0715
20.5506,0.6554,869.5389
9.9999,0.5145,161.6415
14.3723,0.6482,420.6090
14.3505,0.5015,324.4489
17.6379,0.6494,634.6961
20.3884,0.5260,686.9067
10.5488,0.6283,219.6410
13.9038,0.5045,306.3754
15.2027,0.6556,476.0400
17.9608,0.5112,518.0286
20.9280,0.6093,838.3770
9.9125,0.5345,164.9952
13.9419,0.6281,383.5685
15.3843,0.5285,392.9669
17.9785,0.6315,641.2957
20.4049,0.5142,672.6047
10.4234,0.6546,223.4369
13.5004,0.5074,290.5548
15.1747,0.6092,440.7498
17.5897,0.5076,493.4003
20.6818,0.6364,855.2212
10.2306,0.5106,167.9090
13.4830,0.6377,364.1980
15.4405,0.5108,382.5873
17.8204,0.6333,631.7989
20.5137,0.5007,661.8793
9.9156,0.6181,190.9517
13.6061,0.5235,304.4735
15.4992,0.6259,472.3831
17.7978,0.4935,491.1316
20.1828,0.6442,824.4474
9.7005,0.5028,148.6203
13.6215,0.6475,377.4171
15.6121,0.5229,400.3783
17.7881,0.6126,608.9729
20.2105,0.5169,663.2939
9.7133,0.6519,193.2133
14.2488,0.5179,330.3215
14.7712,0.6442,441.5969
17.8525,0.5147,515.3899
20.0699,0.6404,810.3385
10.1572,0.5224,169.3060
13.7381,0.6373,377.9023
14.6534,0.5236,353.1971
17.4187,0.6244,595.1646
19.9105,0.5224,650.6561
11.1387,0.6346,247.3576
14.3107,0.5258,338.2806
14.9273,0.6216,435.1495
18.3634,0.5034,533.2525
21.0049,0.6240,864.9248
9.9731,0.5087,158.9478
13.6746,0.6415,376.8436
14.2796,0.4905,314.2394
17.6669,0.6209,608.8374
20.1010,0.5303,673.1094
10.7973,0.6428,235.4145
13.6612,0.5123,300.3618
15.5891,0.6160,470.2699
17.1337,0.4956,457.0584
20.1448,0.6415,817.8348
9.9921,0.5048,158.3599
14.0607,0.6472,401.9655
15.2097,0.5280,383.6980
17.0916,0.6071,557.1724
20.1495,0.5199,663.0725
10.2181,0.6315,207.1317
13.3945,0.4994,281.4881
14.8307,0.6471,447.1337
18.1784,0.4944,513.2435
20.5162,0.6346,839.1350
10.5715,0.5164,181.2903
13.7152,0.6526,385.6717
14.4595,0.5161,339.0100
17.6831,0.6265,615.4299
20.1910,0.5285,676.9189
10.2860,0.6396,212.5524
14.3617,0.5121,331.7988
15.5153,0.6406,484.4280
18.2479,0.4933,516.0149
20.3631,0.6403,834.1422
10.1720,0.5292,171.9993
14.1921,0.6474,409.6444
15.5876,0.5043,384.9686
17.6677,0.6286,616.4176
20.6398,0.4860,650.4860
9.8870,0.6442,197.8376
13.8366,0.5013,301.5600
15.3638,0.6250,463.5013
17.8132,0.5158,514.1344
19.3879,0.6390,754.6424
10.7295,0.5083,183.8373
14.2948,0.6440,413.4077
15.5146,0.5157,389.9441
17.7722,0.6245,619.7302
20.3576,0.4937,642.7722
9.7547,0.6329,189.2070
14.0669,0.5232,325.2717
15.4354,0.6390,478.2925
17.9758,0.4975,505.0714
20.0475,0.6317,797.5720
10.1471,0.4821,155.9638
14.0128,0.6300,388.6594
15.1979,0.4914,356.5734
17.0035,0.6314,573.4856
20.5478,0.4974,659.7886
10.3075,0.6324,211.1067
14.1542,0.4920,309.6833
15.0522,0.6324,450.1647
18.0713,0.5070,520.1846
20.1763,0.6331,809.6778
9.7899,0.4971,149.6753
13.6150,0.6276,365.5292
15.7228,0.5169,401.4049
17.5392,0.6380,616.5848
20.0287,0.4939,622.4690
10.4700,0.6296,216.8132
13.5042,0.5118,293.2164
15.1402,0.6360,458.0273
17.6745,0.5339,523.9872
20.0143,0.6209,781.3673
10.5265,0.5204,181.1470
14.0372,0.6265,387.8404
15.5324,0.5212,395.0153
17.4629,0.6506,623.2968
20.1781,0.5075,649.1946
10.4942,0.6333,219.0949
13.4107,0.5111,288.8041
15.1371,0.6551,471.5748
17.7674,0.4962,492.1177
20.5221,0.6435,851.4058
10.2937,0.5007,166.7059
13.5350,0.6380,367.1986
14.5513,0.5020,333.9435
17.9243,0.6270,632.8374
20.1512,0.4877,622.1618
10.2161,0.6509,213.4169
14.3808,0.4957,322.0472
15.2185,0.6445,468.9379
17.8461,0.5032,503.4253
20.7698,0.6408,868.3986
10.5123,0.5130,178.1054
14.2182,0.6215,394.7476
14.9259,0.5064,354.4480
17.7219,0.6222,613.8530
20.1138,0.5000,635.4650
10.3174,0.6369,213.0113
14.2550,0.5003,319.4147
14.7387,0.6234,425.4407
17.6750,0.4865,477.4914
20.4125,0.6315,826.6428
10.2744,0.5237,173.6829
13.9960,0.6497,399.8613
14.5846,0.5056,337.8311
17.6650,0.6400,627.3947
20.6081,0.5056,674.6323
10.9058,0.6277,234.5670
14.2550,0.5110,326.2078
14.6485,0.6321,426.0828
17.9318,0.5157,520.9236
20.7105,0.6444,868.2643
10.3693,0.5051,170.5954
13.6092,0.6279,365.3415
15.0372,0.4951,351.6661
17.9150,0.6398,645.0442
20.8208,0.5115,696.5664
10.1303,0.6404,206.4455
13.9654,0.5260,322.2793
15.6741,0.6456,498.2798
18.2153,0.5017,522.9166
20.4568,0.6409,842.5814
9.7215,0.5150,152.8961
13.7724,0.6440,383.7582
15.4784,0.5079,382.2704
18.1434,0.6447,666.6713
20.5243,0.5099,674.7392
9.9933,0.6299,197.6286
14.0632,0.5201,323.1403
14.7215,0.6215,423.1207
18.0923,0.4936,507.6223
20.1011,0.6394,811.6089
10.8296,0.5050,186.0849
13.8073,0.6381,382.1987
15.1046,0.5093,364.9904
17.6108,0.6565,639.6263
21.0810,0.4921,687.1038
10.3443,0.6215,208.9273
13.3841,0.5283,297.3503
14.7471,0.6290,429.7271
18.1948,0.5024,522.4729
20.4203,0.6361,833.3575
10.4131,0.5141,175.1040
13.5228,0.6268,360.1204
14.9794,0.5087,358.6288
17.9072,0.6172,621.7571
19.6525,0.5113,620.4225
10.1634,0.6290,204.1066
14.1402,0.5079,319.0206
14.8661,0.6334,439.7701
17.6523,0.5174,506.4417
20.7602,0.6524,883.3290
10.7126,0.5233,188.6786
13.5723,0.6277,363.2373
15.3854,0.5179,385.1550
17.8353,0.6290,628.6230
19.9021,0.5089,633.3050
10.5151,0.6164,214.0948
13.7711,0.5054,301.0799
15.4750,0.6298,473.8094
17.3077,0.5125,482.3226
20.3118,0.6312,818.1415
10.4219,0.5132,175.1349
14.1542,0.6468,407.0837
15.0508,0.5184,368.9491
17.9851,0.6372,647.5142
20.0370,0.5135,647.6783
9.7352,0.6263,186.4665
14.0896,0.4994,311.4490
15.5203,0.6183,467.8799
17.9399,0.5119,517.5611
19.9525,0.6347,793.7860
10.3866,0.5031,170.5241
14.0279,0.6357,392.9980
15.2510,0.4999,365.2629
17.6703,0.6195,607.6919
20.2217,0.5164,663.3696
10.5419,0.6376,222.5896
13.7653,0.5047,300.4525
14.9524,0.6427,451.4314
17.8455,0.4860,486.2048
20.5123,0.6387,844.2189
10.0912,0.5079,162.4612
14.5762,0.6331,422.6107
15.5861,0.5141,392.3537
18.2279,0.6537,682.3909
20.7567,0.5161,698.5036
10.0636,0.6481,206.1813
12.9176,0.4936,258.7707
15.7178,0.6393,496.1892
17.5858,0.5088,494.3122
21.0633,0.6331,882.4032
10.2688,0.5048,167.2099
13.5450,0.6406,369.2136
14.7406,0.5154,351.8082
17.5699,0.6406,621.2561
20.2657,0.5152,664.7605
10.3535,0.6379,214.8171
13.6173,0.5035,293.3136
15.7753,0.6313,493.5128
18.1254,0.5074,523.6885
20.1712,0.6237,797.2287
9.3669,0.5051,139.2410
13.9426,0.6378,389.4892
15.3402,0.5092,376.4483
18.0887,0.6314,648.9926
20.1205,0.5087,647.0251
9.8612,0.6294,192.2850
14.2327,0.5026,319.8375
15.5819,0.6345,483.9579
17.6070,0.5095,496.2036
20.4962,0.6320,834.0384
10.1104,0.5081,163.1472
14.0066,0.6321,389.5662
15.2600,0.4931,360.7458
17.4349,0.6561,626.5514
19.9584,0.5041,630.8845
10.2131,0.6395,209.5430
14.1188,0.5113,320.2333
14.7690,0.6412,439.3651
18.0148,0.5103,520.3271
19.9952,0.6400,803.8900
10.6044,0.5122,180.9519
13.8833,0.6336,383.6579
15.0228,0.4921,348.9031
18.1364,0.6234,644.1530
20.2419,0.5053,650.4859
10.1731,0.6524,212.1073
13.2602,0.5172,285.7122
14.6780,0.6400,433.1428
17.9480,0.5092,515.3463
20.0224,0.6407,806.9085
10.2499,0.5103,168.4459
14.1341,0.6425,403.2036
14.5429,0.4856,322.6355
18.0545,0.6285,643.6442
20.5442,0.5125,679.5964
9.9780,0.6304,197.1684
14.2765,0.5110,327.1950
14.7941,0.6491,446.2890
18.2745,0.4990,523.5272
20.2425,0.6487,835.1145
9.4346,0.5143,143.8214
13.4358,0.6324,358.6250
15.0059,0.5057,357.7363
17.9203,0.6113,616.7300
19.8680,0.5168,640.9065
10.0227,0.6512,205.5372
14.2706,0.5172,330.9066
15.0070,0.6227,440.6145
17.4661,0.5025,481.6420
20.7635,0.6243,845.5653
9.9631,0.4915,153.2768
14.0443,0.6275,388.8362
15.3413,0.5203,384.7083
17.8913,0.6372,640.7336
20.1677,0.5034,643.2157
9.9784,0.6475,202.5065
13.6027,0.5006,291.0161
15.8639,0.6453,510.2064
17.7448,0.4997,494.3566
19.8713,0.6375,790.8593
10.5967,0.5162,182.1145
14.1962,0.6273,397.1514
14.8499,0.5203,360.4660
17.1638,0.6488,600.4200
20.4789,0.5153,678.8783
10.2687,0.6296,208.5773
14.0519,0.5112,317.1254
14.4189,0.6505,424.8915
17.9891,0.5078,516.2689
20.5001,0.6191,817.4024
10.6093,0.5070,179.2631
14.0736,0.6243,388.4745
14.9127,0.5161,360.5780
17.4457,0.6354,607.5480
19.7799,0.4910,603.5123
10.7662,0.6326,230.3655
13.8073,0.5228,313.1321
14.9349,0.6434,450.8400
17.1798,0.5141,476.6775
20.7977,0.6175,839.0987
10.4897,0.5012,173.2752
13.7167,0.6467,382.2774
15.6032,0.5137,392.9152
17.5567,0.6336,613.5446
20.1071,0.5145,653.5004
10.0101,0.6394,201.2841
13.4732,0.4963,283.0425
14.9049,0.6303,439.8949
17.7775,0.4843,480.8160
20.1792,0.6523,834.5258
10.0609,0.4941,157.1440
14.1330,0.6275,393.7865
15.5107,0.5131,387.7755
17.9353,0.6262,632.8273
19.9772,0.5086,637.6231
10.4808,0.6269,216.3404
14.1931,0.5095,322.4330
15.3322,0.6343,468.4230
18.6111,0.5214,567.3472
21.2898,0.6253,890.3642
10.7043,0.5209,187.4957
13.5402,0.6328,364.4788
15.4326,0.5212,389.9698
18.1381,0.6317,652.9315
20.6555,0.5263,705.4568
10.1229,0.6344,204.2316
14.9218,0.5094,356.3298
14.9154,0.6188,432.5010
17.6851,0.5097,500.7932
19.9133,0.6250,778.6456
9.8999,0.5155,158.7190
13.8301,0.6358,382.0325
15.0878,0.5022,359.1309
18.1537,0.6524,675.4819
20.2973,0.5050,653.6398
10.1932,0.6263,204.4371
13.9705,0.5066,310.6443
15.7914,0.6373,499.2713
18.2114,0.4998,520.7258
19.9111,0.6232,776.2237
10.3632,0.4924,166.1353
14.2729,0.6337,405.5681
15.0571,0.4986,355.1640
17.3542,0.6313,597.3002
20.2805,0.5111,660.4592
10.0803,0.6467,206.4562
13.9467,0.5212,318.4851
15.2032,0.6343,460.6046
17.6211,0.5150,502.4004
19.6746,0.6149,747.8035
9.8319,0.5134,155.9170
13.8048,0.6379,381.9046
14.9777,0.5041,355.2404
17.2023,0.6438,598.5575
20.2286,0.4976,639.6218
11.1515,0.6406,250.2492
14.1228,0.5037,315.6109
14.9175,0.6149,429.8999
17.6384,0.5158,504.1714
20.6183,0.6360,849.4116
10.3507,0.4942,166.3366
14.2877,0.6328,405.7864
16.0063,0.5079,408.7718
17.3110,0.6334,596.2811
20.3739,0.5172,674.4481
9.9421,0.6294,195.4300
13.8544,0.5207,313.9971
15.0019,0.6452,456.1744
17.5406,0.4984,481.7452
20.1149,0.6354,807.7217
9.2913,0.5077,137.6929
13.7953,0.6262,374.3837
14.8364,0.5069,350.5551
17.8230,0.6327,631.4141
20.3888,0.4929,643.7087
10.3505,0.6605,222.3272
13.9797,0.5120,314.3536
15.0770,0.6356,453.9082
17.7473,0.5190,513.6000
20.1099,0.6138,779.8699
10.3783,0.5285,178.8233
14.4093,0.6010,391.9777
14.9516,0.4990,350.4299
17.7420,0.6350,627.9407
20.1213,0.4875,620.0114
10.0730,0.6268,199.8206
13.8540,0.5230,315.3291
15.8682,0.6361,503.1872
18.1471,0.5130,530.7306
20.0094,0.6362,800.1798
10.6375,0.5161,183.4901
14.1813,0.6325,399.6217
14.8734,0.4925,342.2963
18.1878,0.6433,668.4993
19.6366,0.4995,605.0693
10.2459,0.6256,206.2932
14.6434,0.4904,330.3628
14.7333,0.6323,431.2044
17.4827,0.5297,508.6691
19.8656,0.6359,788.4434
10.2617,0.4953,163.8269
13.3249,0.6300,351.4021
15.2061,0.5077,368.8354
17.2121,0.6415,597.0493
20.3216,0.4941,641.1012
10.1547,0.6373,206.4459
14.0913,0.5405,337.1693
15.2960,0.6326,464.9869
17.2437,0.5081,474.6302
20.5162,0.6308,834.1349
10.4903,0.4969,171.7831
13.9727,0.6415,393.4771
15.8845,0.5133,406.8703
17.3475,0.6325,597.9554
20.9473,0.5122,706.0653
10.1982,0.6296,205.7153
13.4946,0.5021,287.2553
15.2128,0.6376,463.5705
17.5300,0.4877,470.8256
20.3705,0.6515,849.3243
10.6812,0.5156,184.8286
13.8923,0.6313,382.7807
14.3609,0.4992,323.4463
18.0055,0.6386,650.4004
20.1673,0.5320,679.8118
10.2623,0.6387,211.3132
13.9672,0.4948,303.2328
15.5127,0.6536,494.1237
18.0844,0.4996,513.3066
20.2218,0.6253,803.3585
10.1804,0.5052,164.4810
14.0037,0.6311,388.8310
15.2458,0.5045,368.3616
18.1304,0.6275,648.0531
20.5576,0.4931,654.7246
9.9637,0.6402,199.6542
13.9309,0.5115,311.8338
15.2543,0.6298,460.4033
17.5574,0.5177,501.4157
20.6059,0.6632,884.7020
9.6986,0.5067,149.7324
13.9607,0.6217,380.6830
14.9093,0.5112,356.9788
17.8308,0.6515,650.7974
20.2483,0.5255,676.8891
9.7029,0.6392,189.0542
14.0059,0.5061,311.8837
15.0111,0.6127,433.7167
17.8405,0.5301,530.0255
20.6310,0.6362,850.7304
10.5573,0.5035,176.2823
13.9836,0.6370,391.3306
15.2889,0.5216,383.0058
17.9071,0.6342,638.9077
20.3925,0.5119,668.8107
10.7337,0.6486,234.7700
13.9985,0.4964,305.6043
15.9052,0.6290,499.9265
17.7540,0.5076,502.6072
20.2004,0.6434,824.7504
9.6196,0.5048,146.7456
14.2070,0.6210,393.7620
15.2089,0.5215,378.9449
17.9876,0.6271,637.4557
20.0086,0.5027,632.2759
10.7709,0.6482,236.2531
14.2905,0.5187,332.7609
15.3873,0.6376,474.2466
17.6320,0.5078,496.0121
20.4778,0.6160,811.5788
10.0941,0.4994,159.8738
14.4492,0.6335,415.5385
14.7762,0.5083,348.6390
17.7595,0.6380,632.1300
20.8579,0.5074,693.4875
10.9545,0.6329,238.6045
14.0301,0.5082,314.2504
15.4131,0.6245,466.1145
17.8642,0.5064,507.6839
19.8394,0.6243,771.9237
9.8816,0.5128,157.3133
13.9946,0.6369,391.8650
15.0350,0.4936,350.5171
17.7856,0.6289,625.0193
20.5710,0.5199,691.2088
10.4872,0.6243,215.7228
13.4673,0.5272,300.4210
15.0640,0.6420,457.7118
17.6759,0.4935,484.4075
20.8320,0.6528,890.0106
10.2986,0.4861,161.9751
13.5881,0.6450,374.1268
15.0136,0.5133,363.4965
17.5020,0.6400,615.8896
20.1704,0.5293,676.4895
10.5162,0.6259,217.4595
14.0308,0.5123,316.8221
15.0482,0.6345,451.3786
18.0234,0.5013,511.5992
20.5628,0.6161,818.4017
9.2559,0.5205,140.0929
13.8835,0.6402,387.6479
16.0924,0.5139,418.0773
17.9290,0.6469,653.2458
20.0079,0.5053,635.4193
10.0346,0.6389,202.1159
14.3736,0.5162,335.0555
15.1041,0.6375,456.9304
18.0066,0.5237,533.4111
20.2730,0.6209,801.7327
10.1543,0.5119,165.8191
13.8558,0.6238,376.2305
15.1062,0.4943,354.3748
17.7423,0.6257,618.7522
20.6079,0.5158,688.1215
10.5406,0.6215,216.9509
13.6916,0.5205,306.5393
15.2014,0.6377,462.9258
17.6204,0.4989,486.6018
19.9929,0.6471,812.6732
10.7484,0.5017,182.0827
14.0325,0.6308,390.2418
15.2062,0.5115,371.5640
18.5495,0.6341,685.4051
20.4274,0.5264,690.1055
10.1545,0.6290,203.7559
13.8927,0.5239,317.6499
15.1443,0.6399,461.0836
17.3748,0.5139,487.3792
20.4162,0.6312,826.5134
10.8611,0.5210,193.0922
13.0397,0.6373,340.4130
15.6448,0.5095,391.7240
18.0959,0.6292,647.3293
20.8198,0.5183,705.8674
10.3091,0.6200,207.0141
14.0531,0.4993,309.7773
15.5824,0.6423,489.9526
17.4813,0.5144,493.8840
19.1676,0.6326,730.1665
10.2126,0.5003,163.9365
13.7856,0.6180,368.9646
15.6897,0.5481,423.8668
17.1149,0.6265,576.5839
19.8638,0.5057,626.8301
10.1485,0.6267,202.8033
14.0866,0.5102,318.0421
15.5546,0.6334,481.4342
17.9551,0.4888,495.0409
20.6639,0.6178,828.7937
10.1806,0.5016,163.3171
13.9609,0.6518,399.1250
15.5488,0.5030,382.0453
17.6667,0.6413,628.8050
19.6223,0.5155,623.5265
10.9002,0.6482,241.9626
14.3289,0.5171,333.5282
15.3422,0.6418,474.6085
17.6409,0.5142,502.7454
20.4161,0.6375,834.7720
10.5424,0.5337,186.3422
14.3989,0.6414,417.7958
15.6492,0.5053,388.7219
17.4173,0.6311,601.4143
20.5544,0.5228,693.9233
9.9666,0.6438,200.9286
13.7181,0.5020,296.7680
14.5431,0.6328,420.4621
18.0191,0.4979,507.8682
20.8021,0.6305,857.0740
9.3299,0.5098,139.4212
13.5283,0.6280,361.0666
15.9702,0.5016,401.9334
17.6019,0.6234,606.7544
20.8007,0.5121,696.0695
9.9294,0.6328,195.9930
14.4198,0.4920,321.3971
15.0198,0.6402,453.7038
17.9930,0.5174,526.2524
19.9079,0.6199,771.8875
9.7358,0.4973,148.0760
14.3004,0.6271,402.9139
15.1769,0.4755,344.1108
17.8437,0.6368,636.9923
20.5305,0.5156,682.7748
10.8968,0.6489,242.0653
13.6477,0.5278,308.8579
14.6993,0.6261,425.0050
17.5148,0.4928,474.9803
20.8236,0.6275,854.8973
9.7440,0.5222,155.7729
14.0095,0.6396,394.3752
15.6022,0.5007,382.9319
18.6463,0.6178,674.8052
20.4511,0.5173,679.7533
9.9243,0.6321,195.5960
14.0819,0.4956,308.7569
15.3166,0.6392,471.0740
18.5445,0.5032,543.6418
19.7257,0.6400,782.3756
10.7121,0.4986,179.7742
14.5131,0.6473,428.3142
15.6533,0.4990,384.1384
17.9068,0.6363,640.9635
20.7091,0.5018,676.0697
9.4617,0.6442,181.1816
13.7130,0.5032,297.2704
15.6594,0.6497,500.4767
18.2860,0.4965,521.5280
19.9524,0.6499,812.8252
10.4455,0.5109,175.1401
13.7558,0.6390,379.8919
14.6266,0.4964,333.6309
18.4105,0.6385,679.8348
20.1742,0.5276,674.6458
10.4774,0.6454,222.5481
13.2776,0.5036,278.9364
15.2924,0.6429,472.3305
18.5912,0.5009,543.8532
20.3736,0.6330,825.5036
10.6256,0.5201,184.5087
13.7230,0.6355,375.9708
15.6137,0.5175,396.3877
17.6527,0.6306,617.3897
20.6012,0.5021,669.4331
10.1195,0.6495,208.9516
14.1123,0.5023,314.2545
15.4717,0.6349,477.4649
17.4833,0.5132,492.8566
20.3745,0.6315,823.6158
9.9420,0.4979,154.6009
14.3223,0.6250,402.7543
15.2693,0.4912,359.7787
17.8872,0.6330,636.2434
20.6144,0.5028,671.2605
10.4696,0.6301,216.9939
14.1309,0.5094,319.5900
15.5245,0.6372,482.4604
17.4905,0.5125,492.5768
21.1037,0.6084,851.3274
10.8135,0.4981,182.9732
14.9148,0.6376,445.5639
14.6283,0.5257,353.4274
17.8737,0.6466,648.9914
20.1973,0.5089,652.2296
9.8717,0.6255,191.5156
14.5202,0.5191,343.8448
15.3688,0.6378,473.2695
17.0035,0.5200,472.3302
20.5896,0.6347,845.2961
9.7685,0.5036,150.9715
14.5534,0.6380,424.5461
14.7480,0.5048,344.9592
17.9021,0.6587,663.1645
20.2753,0.5058,653.2033
10.0827,0.6295,201.0319
14.1931,0.4948,313.1446
14.8825,0.6359,442.5088
17.8097,0.4890,487.2649
